verb,count,presente yo,presente tú,"presente él, ella, Ud.",presente nosotros,presente vosotros,"presente ellos, ellas, Uds.",presente vos,imperfecto yo,imperfecto tú,"imperfecto él, ella, Ud.",imperfecto nosotros,imperfecto vosotros,"imperfecto ellos, ellas, Uds.",imperfecto vos,pretérito yo,pretérito tú,"pretérito él, ella, Ud.",pretérito nosotros,pretérito vosotros,"pretérito ellos, ellas, Uds.",pretérito vos,futuro yo,futuro tú,"futuro él, ella, Ud.",futuro nosotros,futuro vosotros,"futuro ellos, ellas, Uds.",futuro vos,condicional yo,condicional tú,"condicional él, ella, Ud.",condicional nosotros,condicional vosotros,"condicional ellos, ellas, Uds.",condicional vos,prob
refrescar,1570,refresco,refrescas,refresca,refrescamos,refrescáis,refrescan,refrescás,refrescaba,refrescabas,refrescaba,refrescábamos,refrescabais,refrescaban,refrescabas,refresqué,refrescaste,refrescó,refrescamos,refrescasteis,refrescaron,refrescaste,refrescaré,refrescarás,refrescará,refrescaremos,refrescaréis,refrescarán,refrescarás,refrescaría,refrescarías,refrescaría,refrescaríamos,refrescaríais,refrescarían,refrescarías,0.0004517255051125545
pronunciar,1570,pronuncio,pronuncias,pronuncia,pronunciamos,pronunciáis,pronuncian,pronunciás,pronunciaba,pronunciabas,pronunciaba,pronunciábamos,pronunciabais,pronunciaban,pronunciabas,pronuncié,pronunciaste,pronunció,pronunciamos,pronunciasteis,pronunciaron,pronunciaste,pronunciaré,pronunciarás,pronunciará,pronunciaremos,pronunciaréis,pronunciarán,pronunciarás,pronunciaría,pronunciarías,pronunciaría,pronunciaríamos,pronunciaríais,pronunciarían,pronunciarías,0.0004517255051125545
consistir,1570,consisto,consistes,consiste,consistimos,consistís,consisten,consistís,consistía,consistías,consistía,consistíamos,consistíais,consistían,consistías,consistí,consististe,consistió,consistimos,consististeis,consistieron,consististe,consistiré,consistirás,consistirá,consistiremos,consistiréis,consistirán,consistirás,consistiría,consistirías,consistiría,consistiríamos,consistiríais,consistirían,consistirías,0.0004517255051125545
contradecir,1569,contradigo,contradices,contradice,contradecimos,contradecís,contradicen,contradecís,contradecía,contradecías,contradecía,contradecíamos,contradecíais,contradecían,contradecías,contradije,contradijiste,contradijo,contradijimos,contradijisteis,contradijeron,contradijiste,"contradeciré, contradiré","contradecirás, contradirás","contradecirá, contradirá","contradeciremos, contradiremos","contradeciréis, contradiréis","contradecirán, contradirán","contradecirás, contradirás","contradeciría, contradiría","contradecirías, contradirías","contradeciría, contradiría","contradeciríamos, contradiríamos","contradeciríais, contradiríais","contradecirían, contradirían","contradecirías, contradirías",0.00045143778186089044
alejar,1569,alejo,alejas,aleja,alejamos,alejáis,alejan,alejás,alejaba,alejabas,alejaba,alejábamos,alejabais,alejaban,alejabas,alejé,alejaste,alejó,alejamos,alejasteis,alejaron,alejaste,alejaré,alejarás,alejará,alejaremos,alejaréis,alejarán,alejarás,alejaría,alejarías,alejaría,alejaríamos,alejaríais,alejarían,alejarías,0.00045143778186089044
corresponder,1569,correspondo,correspondes,corresponde,correspondemos,correspondéis,corresponden,correspondés,correspondía,correspondías,correspondía,correspondíamos,correspondíais,correspondían,correspondías,correspondí,correspondiste,correspondió,correspondimos,correspondisteis,correspondieron,correspondiste,corresponderé,corresponderás,corresponderá,corresponderemos,corresponderéis,corresponderán,corresponderás,correspondería,corresponderías,correspondería,corresponderíamos,corresponderíais,corresponderían,corresponderías,0.00045143778186089044
espiar,1568,espío,espías,espía,espiamos,espiáis,espían,espiás,espiaba,espiabas,espiaba,espiábamos,espiabais,espiaban,espiabas,espié,espiaste,espió,espiamos,espiasteis,espiaron,espiaste,espiaré,espiarás,espiará,espiaremos,espiaréis,espiarán,espiarás,espiaría,espiarías,espiaría,espiaríamos,espiaríais,espiarían,espiarías,0.00045115005860922635
consultar,1568,consulto,consultas,consulta,consultamos,consultáis,consultan,consultás,consultaba,consultabas,consultaba,consultábamos,consultabais,consultaban,consultabas,consulté,consultaste,consultó,consultamos,consultasteis,consultaron,consultaste,consultaré,consultarás,consultará,consultaremos,consultaréis,consultarán,consultarás,consultaría,consultarías,consultaría,consultaríamos,consultaríais,consultarían,consultarías,0.00045115005860922635
estresar,1568,estreso,estresas,estresa,estresamos,estresáis,estresan,estresás,estresaba,estresabas,estresaba,estresábamos,estresabais,estresaban,estresabas,estresé,estresaste,estresó,estresamos,estresasteis,estresaron,estresaste,estresaré,estresarás,estresará,estresaremos,estresaréis,estresarán,estresarás,estresaría,estresarías,estresaría,estresaríamos,estresaríais,estresarían,estresarías,0.00045115005860922635
revelar,1567,revelo,revelas,revela,revelamos,reveláis,revelan,revelás,revelaba,revelabas,revelaba,revelábamos,revelabais,revelaban,revelabas,revelé,revelaste,reveló,revelamos,revelasteis,revelaron,revelaste,revelaré,revelarás,revelará,revelaremos,revelaréis,revelarán,revelarás,revelaría,revelarías,revelaría,revelaríamos,revelaríais,revelarían,revelarías,0.0004508623353575623
reflexionar,1565,reflexiono,reflexionas,reflexiona,reflexionamos,reflexionáis,reflexionan,reflexionás,reflexionaba,reflexionabas,reflexionaba,reflexionábamos,reflexionabais,reflexionaban,reflexionabas,reflexioné,reflexionaste,reflexionó,reflexionamos,reflexionasteis,reflexionaron,reflexionaste,reflexionaré,reflexionarás,reflexionará,reflexionaremos,reflexionaréis,reflexionarán,reflexionarás,reflexionaría,reflexionarías,reflexionaría,reflexionaríamos,reflexionaríais,reflexionarían,reflexionarías,0.00045028688885423424
forzar,1565,fuerzo,fuerzas,fuerza,forzamos,forzáis,fuerzan,forzás,forzaba,forzabas,forzaba,forzábamos,forzabais,forzaban,forzabas,forcé,forzaste,forzó,forzamos,forzasteis,forzaron,forzaste,forzaré,forzarás,forzará,forzaremos,forzaréis,forzarán,forzarás,forzaría,forzarías,forzaría,forzaríamos,forzaríais,forzarían,forzarías,0.00045028688885423424
alzar,1564,alzo,alzas,alza,alzamos,alzáis,alzan,alzás,alzaba,alzabas,alzaba,alzábamos,alzabais,alzaban,alzabas,alcé,alzaste,alzó,alzamos,alzasteis,alzaron,alzaste,alzaré,alzarás,alzará,alzaremos,alzaréis,alzarán,alzarás,alzaría,alzarías,alzaría,alzaríamos,alzaríais,alzarían,alzarías,0.00044999916560257015
respirar,1564,respiro,respiras,respira,respiramos,respiráis,respiran,respirás,respiraba,respirabas,respiraba,respirábamos,respirabais,respiraban,respirabas,respiré,respiraste,respiró,respiramos,respirasteis,respiraron,respiraste,respiraré,respirarás,respirará,respiraremos,respiraréis,respirarán,respirarás,respiraría,respirarías,respiraría,respiraríamos,respiraríais,respirarían,respirarías,0.00044999916560257015
deslizar,1564,deslizo,deslizas,desliza,deslizamos,deslizáis,deslizan,deslizás,deslizaba,deslizabas,deslizaba,deslizábamos,deslizabais,deslizaban,deslizabas,deslicé,deslizaste,deslizó,deslizamos,deslizasteis,deslizaron,deslizaste,deslizaré,deslizarás,deslizará,deslizaremos,deslizaréis,deslizarán,deslizarás,deslizaría,deslizarías,deslizaría,deslizaríamos,deslizaríais,deslizarían,deslizarías,0.00044999916560257015
batir,1564,bato,bates,bate,batimos,batís,baten,batís,batía,batías,batía,batíamos,batíais,batían,batías,batí,batiste,batió,batimos,batisteis,batieron,batiste,batiré,batirás,batirá,batiremos,batiréis,batirán,batirás,batiría,batirías,batiría,batiríamos,batiríais,batirían,batirías,0.00044999916560257015
comparar,1563,comparo,comparas,compara,comparamos,comparáis,comparan,comparás,comparaba,comparabas,comparaba,comparábamos,comparabais,comparaban,comparabas,comparé,comparaste,comparó,comparamos,comparasteis,compararon,comparaste,compararé,compararás,comparará,compararemos,compararéis,compararán,compararás,compararía,compararías,compararía,compararíamos,compararíais,compararían,compararías,0.0004497114423509061
posponer,1562,pospongo,pospones,pospone,posponemos,posponéis,posponen,posponés,posponía,posponías,posponía,posponíamos,posponíais,posponían,posponías,pospuse,pospusiste,pospuso,pospusimos,pospusisteis,pospusieron,pospusiste,pospondré,pospondrás,pospondrá,pospondremos,pospondréis,pospondrán,pospondrás,pospondría,pospondrías,pospondría,pospondríamos,pospondríais,pospondrían,pospondrías,0.0004494237190992421
aguar,1561,aguo,aguas,agua,aguamos,aguáis,aguan,aguás,aguaba,aguabas,aguaba,aguábamos,aguabais,aguaban,aguabas,agüé,aguaste,aguó,aguamos,aguasteis,aguaron,aguaste,aguaré,aguarás,aguará,aguaremos,aguaréis,aguarán,aguarás,aguaría,aguarías,aguaría,aguaríamos,aguaríais,aguarían,aguarías,0.00044913599584757804
cultivar,1557,cultivo,cultivas,cultiva,cultivamos,cultiváis,cultivan,cultivás,cultivaba,cultivabas,cultivaba,cultivábamos,cultivabais,cultivaban,cultivabas,cultivé,cultivaste,cultivó,cultivamos,cultivasteis,cultivaron,cultivaste,cultivaré,cultivarás,cultivará,cultivaremos,cultivaréis,cultivarán,cultivarás,cultivaría,cultivarías,cultivaría,cultivaríamos,cultivaríais,cultivarían,cultivarías,0.00044798510284092184
aterrorizar,1556,aterrorizo,aterrorizas,aterroriza,aterrorizamos,aterrorizáis,aterrorizan,aterrorizás,aterrorizaba,aterrorizabas,aterrorizaba,aterrorizábamos,aterrorizabais,aterrorizaban,aterrorizabas,aterroricé,aterrorizaste,aterrorizó,aterrorizamos,aterrorizasteis,aterrorizaron,aterrorizaste,aterrorizaré,aterrorizarás,aterrorizará,aterrorizaremos,aterrorizaréis,aterrorizarán,aterrorizarás,aterrorizaría,aterrorizarías,aterrorizaría,aterrorizaríamos,aterrorizaríais,aterrorizarían,aterrorizarías,0.0004476973795892578
absorber,1556,absorbo,absorbes,absorbe,absorbemos,absorbéis,absorben,absorbés,absorbía,absorbías,absorbía,absorbíamos,absorbíais,absorbían,absorbías,absorbí,absorbiste,absorbió,absorbimos,absorbisteis,absorbieron,absorbiste,absorberé,absorberás,absorberá,absorberemos,absorberéis,absorberán,absorberás,absorbería,absorberías,absorbería,absorberíamos,absorberíais,absorberían,absorberías,0.0004476973795892578
bullir,1555,bullo,bulles,bulle,bullimos,bullís,bullen,bullís,bullía,bullías,bullía,bullíamos,bullíais,bullían,bullías,bullí,bulliste,bulló,bullimos,bullisteis,bulleron,bulliste,bulliré,bullirás,bullirá,bulliremos,bulliréis,bullirán,bullirás,bulliría,bullirías,bulliría,bulliríamos,bulliríais,bullirían,bullirías,0.00044740965633759377
combatir,1555,combato,combates,combate,combatimos,combatís,combaten,combatís,combatía,combatías,combatía,combatíamos,combatíais,combatían,combatías,combatí,combatiste,combatió,combatimos,combatisteis,combatieron,combatiste,combatiré,combatirás,combatirá,combatiremos,combatiréis,combatirán,combatirás,combatiría,combatirías,combatiría,combatiríamos,combatiríais,combatirían,combatirías,0.00044740965633759377
anochecer,1554,anochezco,anocheces,anochece,anochecemos,anochecéis,anochecen,anochecés,anochecía,anochecías,anochecía,anochecíamos,anochecíais,anochecían,anochecías,anochecí,anocheciste,anocheció,anochecimos,anochecisteis,anochecieron,anocheciste,anocheceré,anochecerás,anochecerá,anocheceremos,anocheceréis,anochecerán,anochecerás,anochecería,anochecerías,anochecería,anocheceríamos,anocheceríais,anochecerían,anochecerías,0.0004471219330859297
ajustar,1554,ajusto,ajustas,ajusta,ajustamos,ajustáis,ajustan,ajustás,ajustaba,ajustabas,ajustaba,ajustábamos,ajustabais,ajustaban,ajustabas,ajusté,ajustaste,ajustó,ajustamos,ajustasteis,ajustaron,ajustaste,ajustaré,ajustarás,ajustará,ajustaremos,ajustaréis,ajustarán,ajustarás,ajustaría,ajustarías,ajustaría,ajustaríamos,ajustaríais,ajustarían,ajustarías,0.0004471219330859297
curar,1553,curo,curas,cura,curamos,curáis,curan,curás,curaba,curabas,curaba,curábamos,curabais,curaban,curabas,curé,curaste,curó,curamos,curasteis,curaron,curaste,curaré,curarás,curará,curaremos,curaréis,curarán,curarás,curaría,curarías,curaría,curaríamos,curaríais,curarían,curarías,0.00044683420983426564
estirar,1553,estiro,estiras,estira,estiramos,estiráis,estiran,estirás,estiraba,estirabas,estiraba,estirábamos,estirabais,estiraban,estirabas,estiré,estiraste,estiró,estiramos,estirasteis,estiraron,estiraste,estiraré,estirarás,estirará,estiraremos,estiraréis,estirarán,estirarás,estiraría,estirarías,estiraría,estiraríamos,estiraríais,estirarían,estirarías,0.00044683420983426564
abreviar,1551,abrevio,abrevias,abrevia,abreviamos,abreviáis,abrevian,abreviás,abreviaba,abreviabas,abreviaba,abreviábamos,abreviabais,abreviaban,abreviabas,abrevié,abreviaste,abrevió,abreviamos,abreviasteis,abreviaron,abreviaste,abreviaré,abreviarás,abreviará,abreviaremos,abreviaréis,abreviarán,abreviarás,abreviaría,abreviarías,abreviaría,abreviaríamos,abreviaríais,abreviarían,abreviarías,0.00044625876333093757
absorver,1551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044625876333093757
alumbrar,1551,alumbro,alumbras,alumbra,alumbramos,alumbráis,alumbran,alumbrás,alumbraba,alumbrabas,alumbraba,alumbrábamos,alumbrabais,alumbraban,alumbrabas,alumbré,alumbraste,alumbró,alumbramos,alumbrasteis,alumbraron,alumbraste,alumbraré,alumbrarás,alumbrará,alumbraremos,alumbraréis,alumbrarán,alumbrarás,alumbraría,alumbrarías,alumbraría,alumbraríamos,alumbraríais,alumbrarían,alumbrarías,0.00044625876333093757
representar,1550,represento,representas,representa,representamos,representáis,representan,representás,representaba,representabas,representaba,representábamos,representabais,representaban,representabas,representé,representaste,representó,representamos,representasteis,representaron,representaste,representaré,representarás,representará,representaremos,representaréis,representarán,representarás,representaría,representarías,representaría,representaríamos,representaríais,representarían,representarías,0.00044597104007927353
acusar,1549,acuso,acusas,acusa,acusamos,acusáis,acusan,acusás,acusaba,acusabas,acusaba,acusábamos,acusabais,acusaban,acusabas,acusé,acusaste,acusó,acusamos,acusasteis,acusaron,acusaste,acusaré,acusarás,acusará,acusaremos,acusaréis,acusarán,acusarás,acusaría,acusarías,acusaría,acusaríamos,acusaríais,acusarían,acusarías,0.00044568331682760944
certificar,1548,certifico,certificas,certifica,certificamos,certificáis,certifican,certificás,certificaba,certificabas,certificaba,certificábamos,certificabais,certificaban,certificabas,certifiqué,certificaste,certificó,certificamos,certificasteis,certificaron,certificaste,certificaré,certificarás,certificará,certificaremos,certificaréis,certificarán,certificarás,certificaría,certificarías,certificaría,certificaríamos,certificaríais,certificarían,certificarías,0.0004453955935759454
arruinar,1547,arruino,arruinas,arruina,arruinamos,arruináis,arruinan,arruinás,arruinaba,arruinabas,arruinaba,arruinábamos,arruinabais,arruinaban,arruinabas,arruiné,arruinaste,arruinó,arruinamos,arruinasteis,arruinaron,arruinaste,arruinaré,arruinarás,arruinará,arruinaremos,arruinaréis,arruinarán,arruinarás,arruinaría,arruinarías,arruinaría,arruinaríamos,arruinaríais,arruinarían,arruinarías,0.00044510787032428137
ampliar,1546,amplío,amplías,amplía,ampliamos,ampliáis,amplían,ampliás,ampliaba,ampliabas,ampliaba,ampliábamos,ampliabais,ampliaban,ampliabas,amplié,ampliaste,amplió,ampliamos,ampliasteis,ampliaron,ampliaste,ampliaré,ampliarás,ampliará,ampliaremos,ampliaréis,ampliarán,ampliarás,ampliaría,ampliarías,ampliaría,ampliaríamos,ampliaríais,ampliarían,ampliarías,0.00044482014707261734
almacenar,1545,almaceno,almacenas,almacena,almacenamos,almacenáis,almacenan,almacenás,almacenaba,almacenabas,almacenaba,almacenábamos,almacenabais,almacenaban,almacenabas,almacené,almacenaste,almacenó,almacenamos,almacenasteis,almacenaron,almacenaste,almacenaré,almacenarás,almacenará,almacenaremos,almacenaréis,almacenarán,almacenarás,almacenaría,almacenarías,almacenaría,almacenaríamos,almacenaríais,almacenarían,almacenarías,0.0004445324238209533
disculpar,1545,disculpo,disculpas,disculpa,disculpamos,disculpáis,disculpan,disculpás,disculpaba,disculpabas,disculpaba,disculpábamos,disculpabais,disculpaban,disculpabas,disculpé,disculpaste,disculpó,disculpamos,disculpasteis,disculparon,disculpaste,disculparé,disculparás,disculpará,disculparemos,disculparéis,disculparán,disculparás,disculparía,disculparías,disculparía,disculparíamos,disculparíais,disculparían,disculparías,0.0004445324238209533
torear,1543,toreo,toreas,torea,toreamos,toreáis,torean,toreás,toreaba,toreabas,toreaba,toreábamos,toreabais,toreaban,toreabas,toreé,toreaste,toreó,toreamos,toreasteis,torearon,toreaste,torearé,torearás,toreará,torearemos,torearéis,torearán,torearás,torearía,torearías,torearía,torearíamos,torearíais,torearían,torearías,0.0004439569773176252
conservar,1542,conservo,conservas,conserva,conservamos,conserváis,conservan,conservás,conservaba,conservabas,conservaba,conservábamos,conservabais,conservaban,conservabas,conservé,conservaste,conservó,conservamos,conservasteis,conservaron,conservaste,conservaré,conservarás,conservará,conservaremos,conservaréis,conservarán,conservarás,conservaría,conservarías,conservaría,conservaríamos,conservaríais,conservarían,conservarías,0.00044366925406596114
descender,1541,desciendo,desciendes,desciende,descendemos,descendéis,descienden,descendés,descendía,descendías,descendía,descendíamos,descendíais,descendían,descendías,descendí,descendiste,descendió,descendimos,descendisteis,descendieron,descendiste,descenderé,descenderás,descenderá,descenderemos,descenderéis,descenderán,descenderás,descendería,descenderías,descendería,descenderíamos,descenderíais,descenderían,descenderías,0.0004433815308142971
ingresar,1541,ingreso,ingresas,ingresa,ingresamos,ingresáis,ingresan,ingresás,ingresaba,ingresabas,ingresaba,ingresábamos,ingresabais,ingresaban,ingresabas,ingresé,ingresaste,ingresó,ingresamos,ingresasteis,ingresaron,ingresaste,ingresaré,ingresarás,ingresará,ingresaremos,ingresaréis,ingresarán,ingresarás,ingresaría,ingresarías,ingresaría,ingresaríamos,ingresaríais,ingresarían,ingresarías,0.0004433815308142971
adornar,1541,adorno,adornas,adorna,adornamos,adornáis,adornan,adornás,adornaba,adornabas,adornaba,adornábamos,adornabais,adornaban,adornabas,adorné,adornaste,adornó,adornamos,adornasteis,adornaron,adornaste,adornaré,adornarás,adornará,adornaremos,adornaréis,adornarán,adornarás,adornaría,adornarías,adornaría,adornaríamos,adornaríais,adornarían,adornarías,0.0004433815308142971
desafiar,1541,desafío,desafías,desafía,desafiamos,desafiáis,desafían,desafiás,desafiaba,desafiabas,desafiaba,desafiábamos,desafiabais,desafiaban,desafiabas,desafié,desafiaste,desafió,desafiamos,desafiasteis,desafiaron,desafiaste,desafiaré,desafiarás,desafiará,desafiaremos,desafiaréis,desafiarán,desafiarás,desafiaría,desafiarías,desafiaría,desafiaríamos,desafiaríais,desafiarían,desafiarías,0.0004433815308142971
concebir,1541,concibo,concibes,concibe,concebimos,concebís,conciben,concebís,concebía,concebías,concebía,concebíamos,concebíais,concebían,concebías,concebí,concebiste,concibió,concebimos,concebisteis,concibieron,concebiste,concebiré,concebirás,concebirá,concebiremos,concebiréis,concebirán,concebirás,concebiría,concebirías,concebiría,concebiríamos,concebiríais,concebirían,concebirías,0.0004433815308142971
comercializar,1540,comercializo,comercializas,comercializa,comercializamos,comercializáis,comercializan,comercializás,comercializaba,comercializabas,comercializaba,comercializábamos,comercializabais,comercializaban,comercializabas,comercialicé,comercializaste,comercializó,comercializamos,comercializasteis,comercializaron,comercializaste,comercializaré,comercializarás,comercializará,comercializaremos,comercializaréis,comercializarán,comercializarás,comercializaría,comercializarías,comercializaría,comercializaríamos,comercializaríais,comercializarían,comercializarías,0.000443093807562633
apostar,1539,apuesto,apuestas,apuesta,apostamos,apostáis,apuestan,apostás,apostaba,apostabas,apostaba,apostábamos,apostabais,apostaban,apostabas,aposté,apostaste,apostó,apostamos,apostasteis,apostaron,apostaste,apostaré,apostarás,apostará,apostaremos,apostaréis,apostarán,apostarás,apostaría,apostarías,apostaría,apostaríamos,apostaríais,apostarían,apostarías,0.000442806084310969
contratar,1539,contrato,contratas,contrata,contratamos,contratáis,contratan,contratás,contrataba,contratabas,contrataba,contratábamos,contratabais,contrataban,contratabas,contraté,contrataste,contrató,contratamos,contratasteis,contrataron,contrataste,contrataré,contratarás,contratará,contrataremos,contrataréis,contratarán,contratarás,contrataría,contratarías,contrataría,contrataríamos,contrataríais,contratarían,contratarías,0.000442806084310969
aislar,1537,aíslo,aíslas,aísla,aislamos,aisláis,aíslan,aislás,aislaba,aislabas,aislaba,aislábamos,aislabais,aislaban,aislabas,aislé,aislaste,aisló,aislamos,aislasteis,aislaron,aislaste,aislaré,aislarás,aislará,aislaremos,aislaréis,aislarán,aislarás,aislaría,aislarías,aislaría,aislaríamos,aislaríais,aislarían,aislarías,0.0004422306378076409
chupar,1537,chupo,chupas,chupa,chupamos,chupáis,chupan,chupás,chupaba,chupabas,chupaba,chupábamos,chupabais,chupaban,chupabas,chupé,chupaste,chupó,chupamos,chupasteis,chuparon,chupaste,chuparé,chuparás,chupará,chuparemos,chuparéis,chuparán,chuparás,chuparía,chuparías,chuparía,chuparíamos,chuparíais,chuparían,chuparías,0.0004422306378076409
enfadar,1537,enfado,enfadas,enfada,enfadamos,enfadáis,enfadan,enfadás,enfadaba,enfadabas,enfadaba,enfadábamos,enfadabais,enfadaban,enfadabas,enfadé,enfadaste,enfadó,enfadamos,enfadasteis,enfadaron,enfadaste,enfadaré,enfadarás,enfadará,enfadaremos,enfadaréis,enfadarán,enfadarás,enfadaría,enfadarías,enfadaría,enfadaríamos,enfadaríais,enfadarían,enfadarías,0.0004422306378076409
adoptar,1537,adopto,adoptas,adopta,adoptamos,adoptáis,adoptan,adoptás,adoptaba,adoptabas,adoptaba,adoptábamos,adoptabais,adoptaban,adoptabas,adopté,adoptaste,adoptó,adoptamos,adoptasteis,adoptaron,adoptaste,adoptaré,adoptarás,adoptará,adoptaremos,adoptaréis,adoptarán,adoptarás,adoptaría,adoptarías,adoptaría,adoptaríamos,adoptaríais,adoptarían,adoptarías,0.0004422306378076409
registrar,1537,registro,registras,registra,registramos,registráis,registran,registrás,registraba,registrabas,registraba,registrábamos,registrabais,registraban,registrabas,registré,registraste,registró,registramos,registrasteis,registraron,registraste,registraré,registrarás,registrará,registraremos,registraréis,registrarán,registrarás,registraría,registrarías,registraría,registraríamos,registraríais,registrarían,registrarías,0.0004422306378076409
sobrar,1537,sobro,sobras,sobra,sobramos,sobráis,sobran,sobrás,sobraba,sobrabas,sobraba,sobrábamos,sobrabais,sobraban,sobrabas,sobré,sobraste,sobró,sobramos,sobrasteis,sobraron,sobraste,sobraré,sobrarás,sobrará,sobraremos,sobraréis,sobrarán,sobrarás,sobraría,sobrarías,sobraría,sobraríamos,sobraríais,sobrarían,sobrarías,0.0004422306378076409
esforzar,1536,esfuerzo,esfuerzas,esfuerza,esforzamos,esforzáis,esfuerzan,esforzás,esforzaba,esforzabas,esforzaba,esforzábamos,esforzabais,esforzaban,esforzabas,esforcé,esforzaste,esforzó,esforzamos,esforzasteis,esforzaron,esforzaste,esforzaré,esforzarás,esforzará,esforzaremos,esforzaréis,esforzarán,esforzarás,esforzaría,esforzarías,esforzaría,esforzaríamos,esforzaríais,esforzarían,esforzarías,0.00044194291455597687
agriar,1534,agrio,agrias,agria,agriamos,agriáis,agrian,agriás,agriaba,agriabas,agriaba,agriábamos,agriabais,agriaban,agriabas,agrié,agriaste,agrió,agriamos,agriasteis,agriaron,agriaste,agriaré,agriarás,agriará,agriaremos,agriaréis,agriarán,agriarás,agriaría,agriarías,agriaría,agriaríamos,agriaríais,agriarían,agriarías,0.00044136746805264874
soltar,1533,suelto,sueltas,suelta,soltamos,soltáis,sueltan,soltás,soltaba,soltabas,soltaba,soltábamos,soltabais,soltaban,soltabas,solté,soltaste,soltó,soltamos,soltasteis,soltaron,soltaste,soltaré,soltarás,soltará,soltaremos,soltaréis,soltarán,soltarás,soltaría,soltarías,soltaría,soltaríamos,soltaríais,soltarían,soltarías,0.0004410797448009847
pisar,1533,piso,pisas,pisa,pisamos,pisáis,pisan,pisás,pisaba,pisabas,pisaba,pisábamos,pisabais,pisaban,pisabas,pisé,pisaste,pisó,pisamos,pisasteis,pisaron,pisaste,pisaré,pisarás,pisará,pisaremos,pisaréis,pisarán,pisarás,pisaría,pisarías,pisaría,pisaríamos,pisaríais,pisarían,pisarías,0.0004410797448009847
acelerar,1532,acelero,aceleras,acelera,aceleramos,aceleráis,aceleran,acelerás,aceleraba,acelerabas,aceleraba,acelerábamos,acelerabais,aceleraban,acelerabas,aceleré,aceleraste,aceleró,aceleramos,acelerasteis,aceleraron,aceleraste,aceleraré,acelerarás,acelerará,aceleraremos,aceleraréis,acelerarán,acelerarás,aceleraría,acelerarías,aceleraría,aceleraríamos,aceleraríais,acelerarían,acelerarías,0.00044079202154932067
agravar,1531,agravo,agravas,agrava,agravamos,agraváis,agravan,agravás,agravaba,agravabas,agravaba,agravábamos,agravabais,agravaban,agravabas,agravé,agravaste,agravó,agravamos,agravasteis,agravaron,agravaste,agravaré,agravarás,agravará,agravaremos,agravaréis,agravarán,agravarás,agravaría,agravarías,agravaría,agravaríamos,agravaríais,agravarían,agravarías,0.00044050429829765663
sofocar,1531,sofoco,sofocas,sofoca,sofocamos,sofocáis,sofocan,sofocás,sofocaba,sofocabas,sofocaba,sofocábamos,sofocabais,sofocaban,sofocabas,sofoqué,sofocaste,sofocó,sofocamos,sofocasteis,sofocaron,sofocaste,sofocaré,sofocarás,sofocará,sofocaremos,sofocaréis,sofocarán,sofocarás,sofocaría,sofocarías,sofocaría,sofocaríamos,sofocaríais,sofocarían,sofocarías,0.00044050429829765663
exponer,1530,expongo,expones,expone,exponemos,exponéis,exponen,exponés,exponía,exponías,exponía,exponíamos,exponíais,exponían,exponías,expuse,expusiste,expuso,expusimos,expusisteis,expusieron,expusiste,expondré,expondrás,expondrá,expondremos,expondréis,expondrán,expondrás,expondría,expondrías,expondría,expondríamos,expondríais,expondrían,expondrías,0.00044021657504599254
recuperar,1530,recupero,recuperas,recupera,recuperamos,recuperáis,recuperan,recuperás,recuperaba,recuperabas,recuperaba,recuperábamos,recuperabais,recuperaban,recuperabas,recuperé,recuperaste,recuperó,recuperamos,recuperasteis,recuperaron,recuperaste,recuperaré,recuperarás,recuperará,recuperaremos,recuperaréis,recuperarán,recuperarás,recuperaría,recuperarías,recuperaría,recuperaríamos,recuperaríais,recuperarían,recuperarías,0.00044021657504599254
intervenir,1529,intervengo,intervienes,interviene,intervenimos,intervenís,intervienen,intervenís,intervenía,intervenías,intervenía,interveníamos,interveníais,intervenían,intervenías,intervine,interviniste,intervino,intervinimos,intervinisteis,intervinieron,interviniste,intervendré,intervendrás,intervendrá,intervendremos,intervendréis,intervendrán,intervendrás,intervendría,intervendrías,intervendría,intervendríamos,intervendríais,intervendrían,intervendrías,0.0004399288517943285
acompañar,1529,acompaño,acompañas,acompaña,acompañamos,acompañáis,acompañan,acompañás,acompañaba,acompañabas,acompañaba,acompañábamos,acompañabais,acompañaban,acompañabas,acompañé,acompañaste,acompañó,acompañamos,acompañasteis,acompañaron,acompañaste,acompañaré,acompañarás,acompañará,acompañaremos,acompañaréis,acompañarán,acompañarás,acompañaría,acompañarías,acompañaría,acompañaríamos,acompañaríais,acompañarían,acompañarías,0.0004399288517943285
explorar,1528,exploro,exploras,explora,exploramos,exploráis,exploran,explorás,exploraba,explorabas,exploraba,explorábamos,explorabais,exploraban,explorabas,exploré,exploraste,exploró,exploramos,explorasteis,exploraron,exploraste,exploraré,explorarás,explorará,exploraremos,exploraréis,explorarán,explorarás,exploraría,explorarías,exploraría,exploraríamos,exploraríais,explorarían,explorarías,0.00043964112854266447
